"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"PTK2B",7.05631,6.80463,6.88022,6.99614,6.72774,7.60778,6.71198,6.80151,7.78934,6.96175,7.09977,7.78315,6.83895,6.79958,6.78126,7.02033,6.65814,6.79699,7.29532,6.65243,6.93524,6.69227,7.26516,6.78578,6.6925,6.66723,7.77766,7.11948,6.83168,6.90288,7.19211,6.95431,7.51528,7.19658,7.17504,6.60883,7.13651,7.14931,6.85489,6.73777,7.01959,7.28762,7.07904,7.08056,6.80729,6.93252,6.65027,6.57042,6.94346,6.79463,7.54259,6.76341,7.10867,7.42468,6.69074,7.16018,7.16285,7.36817,7.17221,7.57235,6.69099,7.38246,7.12267,7.43462,7.91618,6.83988,7.3092,6.69427,7.60891,7.47721,6.86026,7.49847,6.73532,6.84859,7.05142,6.89171,7.04886,7.04187,6.88485,6.8827,7.0092,6.73627,7.33563,6.99269,7.23894,6.94805,7.37416,6.87572,7.20569,6.94488,6.93922,6.98007,6.94851,7.20783,7.19532,6.98342,7.49929,6.84574,6.79283,6.5886
"CTNS",6.4064,7.32423,7.01061,7.48782,7.51187,7.56164,6.95952,6.92158,6.61417,7.17291,6.16629,7.16028,6.8824,8.63614,6.94782,7.44589,7.25037,7.2762,7.6076,7.25166,7.10325,7.90502,6.97844,8.0439,7.45796,6.43994,7.79581,5.91867,7.76349,6.51951,7.79852,7.11493,7.79999,6.92846,7.11426,7.39363,7.4109,6.66182,7.64497,6.78475,7.07638,8.29978,7.32896,7.54875,7.26579,8.30149,7.20863,7.71352,8.24375,6.57393,7.71129,7.74803,6.56247,7.07537,7.99367,7.10076,6.97735,7.77432,7.36914,7.56818,6.33851,6.65814,7.09746,6.48031,7.06141,6.792,7.04638,7.23056,7.98587,7.62845,6.63062,7.48403,7.38481,7.16154,7.11457,6.84764,7.19262,6.76947,7.85779,6.83553,6.92126,7.68155,8.24152,6.60692,7.75852,7.50994,6.89816,7.07775,6.903,6.79659,6.38444,7.52881,6.89493,7.20681,7.5007,9.16639,7.34261,7.37616,7.11234,6.82924
"POLE",7.40171,7.19214,9.40646,6.9146,7.52556,6.79132,6.68389,7.21514,8.082,7.22337,7.29627,7.04826,7.67554,7.81193,8.03411,8.14856,8.47119,6.57164,7.884,7.48619,7.40715,7.38252,7.16027,7.53013,7.16734,7.56046,7.68304,9.15429,7.01954,7.98932,6.75209,8.76167,7.64713,7.3067,7.69518,8.04258,6.95926,7.59699,7.24145,7.67159,7.31665,7.77724,7.18089,7.02417,8.04136,7.77932,7.62123,8.29838,7.51466,7.45357,6.93656,7.66261,7.57026,6.64731,7.33626,6.67337,7.40905,7.72237,7.40807,6.37635,7.53783,6.63369,7.06389,7.51344,7.20258,6.84938,7.29197,7.36312,7.66985,6.90809,7.37859,6.96682,7.28954,8.10317,7.30401,6.63955,7.13258,7.30014,7.38533,7.64653,7.39748,7.20132,7.02664,8.25707,7.82939,7.14476,6.55956,7.90323,7.64624,6.84589,7.40359,7.46816,7.74508,6.5099,7.26275,6.53166,7.43265,7.07958,6.93671,8.13906
"NIPSNAP1",9.37813,9.08142,9.5148,8.56368,8.80491,8.6395,8.11471,9.38163,9.63523,8.90623,8.69685,9.1301,9.06119,9.1359,8.61018,8.7218,10.04194,9.42006,8.61958,9.14629,9.20736,9.42102,9.63803,9.09302,8.98903,9.08108,8.62721,9.33744,8.98321,8.72477,8.51863,8.82587,9.17837,9.66197,9.50947,9.83941,10.03009,9.70035,9.07799,8.94533,9.03542,8.43868,9.77437,8.42271,9.04061,9.01201,8.7028,9.11397,8.93807,8.73433,8.25005,9.0034,9.2267,8.79661,8.43973,8.90725,9.53526,8.53406,8.8968,8.8286,9.67746,9.24131,9.11135,8.75857,9.12868,7.90894,8.63256,9.81302,9.08474,8.87459,9.2959,8.89588,8.57316,9.91568,9.44553,8.93123,8.61369,9.51161,9.39068,9.8607,8.71303,8.71349,8.93574,10.53606,9.18111,9.58279,8.11935,9.27853,9.13425,8.69364,9.30245,9.10562,9.02515,8.62828,8.97824,8.82299,9.09745,9.83568,9.36899,9.1145
"RPL32P3",5.73657,5.35545,6.65171,5.73412,5.02704,5.44033,5.35265,4.80839,5.22588,5.04472,5.64626,5.61712,5.653,4.90437,6.20913,5.27406,6.78968,5.46356,5.23671,5.23999,6.02738,5.39516,5.19511,5.41201,5.32351,5.47048,5.16184,5.66049,6.37142,6.21295,5.04315,5.80944,5.38675,5.93172,6.39717,5.61478,5.34106,5.63229,5.24362,5.21154,5.61995,5.15834,5.53643,4.98726,5.3672,5.39569,5.26542,5.3793,6.17557,4.95828,4.98054,5.84311,5.31183,5.61529,5.17837,5.37666,5.48231,5.55956,5.03785,5.15698,5.61873,5.39909,5.0988,6.19606,5.31599,6.19792,5.76378,6.05843,5.03205,5.07727,5.71572,5.31849,5.25119,5.69531,5.45858,5.18103,5.42805,6.04374,5.42399,5.77114,5.71044,5.34608,4.9877,5.12883,5.96245,5.9997,5.67906,5.78454,5.43714,5.44464,5.94067,5.58233,5.66275,5.37975,5.22878,5.44808,5.03101,6.19755,6.45824,5.40019
"ARMC8",7.31294,6.89426,7.12418,7.1064,6.38888,6.71899,7.26833,6.61968,7.58495,7.06889,6.76501,7.5674,6.61842,6.71749,7.18497,6.83995,7.94982,6.10344,7.36476,8.64566,6.76726,6.67519,8.75415,7.03842,6.57459,7.30353,6.47092,7.64833,7.66331,7.8367,6.53826,7.50973,6.24459,7.9118,7.73059,7.97066,6.34856,7.26597,6.474,7.54357,7.13534,6.72393,7.14101,6.70127,6.75071,6.5386,8.08153,7.28976,7.85291,7.28388,6.50251,6.64336,7.48517,6.23168,7.48039,6.70863,7.32795,6.2328,7.30971,6.44722,7.29484,8.78893,6.81917,6.78468,6.82946,7.89835,6.75237,7.39509,6.52923,6.39331,7.45095,6.44581,7.61826,7.48541,7.2758,6.94028,6.70296,8.3131,6.58037,7.61179,6.54143,6.47304,6.91989,7.16891,7.09517,6.48185,6.94166,6.74587,6.99759,6.50945,7.38953,6.98505,6.88083,6.77041,6.99845,6.66707,7.24247,7.24684,7.64718,6.49119
"OAT",11.45572,11.18766,10.54704,11.36271,12.55608,12.0791,11.88538,11.10045,11.70799,11.17801,11.30678,11.62893,11.55313,10.50818,9.31189,11.70812,11.97104,11.11437,12.06627,12.02214,12.17554,13.4021,11.45379,11.10314,10.62326,11.21025,11.23499,10.56105,12.0688,11.46172,12.15334,11.12942,12.11631,11.083,10.92606,10.88065,11.98189,12.00022,11.49523,10.91352,11.59882,11.36352,10.31471,12.42303,11.49621,12.77832,10.91884,13.20469,11.36758,11.78785,11.08725,12.63894,10.97031,11.30606,13.26659,11.70744,10.77532,10.92319,10.86054,10.87544,10.69985,12.03652,10.61465,10.52102,11.53098,12.22881,11.69845,11.4436,10.89817,11.0021,11.66136,11.13505,13.28335,9.81836,10.84647,11.33211,11.68225,11.63795,12.00278,10.68746,10.98338,13.00119,10.10251,10.57532,11.5766,12.81069,11.96556,11.64451,10.62933,11.68514,10.13438,12.22398,14.10538,12.48973,12.29629,12.17518,11.34958,11.57918,13.07257,10.81791
"CENPL",7.71632,6.97119,7.76898,6.76967,6.54993,6.04895,6.69015,7.80691,6.88516,7.60379,5.81937,7.39385,8.17399,7.30632,7.9506,6.46223,7.41685,6.76223,6.68901,7.41196,6.80588,6.91376,6.03834,7.17523,7.35902,7.18707,7.07958,7.65479,7.66908,8.12945,5.78612,8.24077,6.49348,7.09446,7.56761,8.03475,6.68415,7.75088,6.73484,8.49062,6.97452,6.74415,6.89824,6.0777,6.98743,6.5818,7.77379,6.79294,8.06219,6.61256,5.29241,6.19815,8.82374,5.75446,7.37904,5.84405,7.50503,6.65222,6.99017,4.93973,7.63534,7.79681,6.36291,5.67045,6.5844,8.01862,6.58227,6.63431,6.42752,6.35733,7.92724,5.97314,6.90114,6.97318,6.43816,7.55568,6.67993,6.81377,6.08032,7.19529,7.51276,6.77608,5.67877,7.18785,6.66167,6.29876,6.07919,7.18688,7.7324,6.58256,7.15875,6.67583,7.23779,5.81149,6.40699,6.15758,6.63048,6.90315,6.77199,7.89488
"CEP85",7.39244,7.12821,8.03578,7.16274,7.72952,7.01386,7.33932,7.19933,8.31079,7.13621,7.03281,7.53717,7.46145,8.24937,7.38715,7.7289,7.68658,7.12568,7.55799,8.57628,7.11731,6.98751,7.24165,7.11627,7.17069,7.39254,7.21621,8.6668,7.47641,8.02148,7.65768,7.85671,7.06418,7.54426,7.59246,7.92019,7.11446,7.02779,6.88294,8.43951,7.31621,7.7296,7.29217,7.02707,7.31783,7.25164,7.80132,7.09348,7.89203,7.55752,7.26837,7.29321,7.28807,6.94769,7.07323,6.88232,7.22448,7.64928,6.95744,6.95891,7.78594,7.49398,7.10371,6.76498,7.8579,7.40002,7.53159,7.10744,7.19595,7.01627,7.63847,6.61087,6.97989,7.69719,7.08513,6.67599,6.93937,7.09827,7.09269,8.35905,7.0165,6.69515,6.85829,7.70643,7.59921,7.05369,6.89617,7.28289,7.3965,6.83913,7.759,6.91869,6.96801,7.00133,7.02009,7.86507,7.53174,7.71299,7.17659,8.79629
"CCR10",4.9356,7.97768,4.92934,5.19954,7.28839,5.53182,5.33784,5.13633,7.18279,5.787,5.53296,5.44182,5.24828,5.45955,6.43969,5.24438,5.0773,5.12609,5.74794,4.80522,5.35993,7.17793,5.59547,5.77686,4.55905,5.11897,5.57353,5.48073,5.28505,4.7994,5.23943,6.06292,7.21248,4.65175,5.21334,5.16564,5.26408,5.70225,5.85839,4.63103,6.45548,6.95453,5.19353,6.30351,7.95704,5.81471,4.71188,6.69801,4.19829,5.69885,6.76559,5.83298,4.94953,5.81832,6.56521,5.16801,6.60928,4.55774,5.68097,5.7522,4.8644,4.92202,5.38056,4.83875,6.12095,5.26702,5.51005,6.07931,6.11339,5.1755,4.91196,4.81188,5.86752,4.94995,4.69824,5.48955,5.79274,5.46948,5.27891,5.50336,5.34463,6.37678,4.93846,4.82684,5.59985,5.62217,4.73665,6.95024,5.21506,5.41867,6.52815,6.20126,5.77394,5.37256,5.36068,6.18156,5.5855,5.15397,5.73417,6.69093
